t,tempA_mod,tempB_mod
7671.53,2.83562,0.532414
7682.48,2.82323,0.532131
7693.42,2.8109,0.531851
7704.36,2.79862,0.531573
7715.31,2.7864,0.531298
7726.25,2.77423,0.531025
7737.2,2.76211,0.530755
7748.14,2.75005,0.530487
7759.08,2.73804,0.530221
7770.03,2.72608,0.529958
7780.97,2.71417,0.529696
7791.91,2.70231,0.529438
7802.86,2.69051,0.529181
7813.8,2.67876,0.528927
7824.75,2.66706,0.528675
7835.69,2.65541,0.528425
7846.63,2.64381,0.528177
7857.58,2.63226,0.527931
7868.52,2.62076,0.527688
7879.46,2.60932,0.527446
7890.41,2.59792,0.527207
7901.35,2.58657,0.52697
7912.3,2.57527,0.526735
7923.24,2.56403,0.526502
7934.18,2.55283,0.526271
7945.13,2.54168,0.526042
7956.07,2.53057,0.525815
7967.01,2.51952,0.52559
7977.96,2.50851,0.525367
7988.9,2.49756,0.525146
7999.84,2.48665,0.524926
8010.79,2.47579,0.524709
8021.73,2.46497,0.524494
8032.68,2.45421,0.52428
8043.62,2.44349,0.524069
8054.56,2.43281,0.523859
8065.51,2.42219,0.523651
8076.45,2.41161,0.523445
8087.39,2.40107,0.52324
8098.34,2.39059,0.523038
8109.28,2.38014,0.522837
8120.23,2.36975,0.522638
8131.17,2.3594,0.522441
8142.11,2.34909,0.522245
8153.06,2.33883,0.522051
8164,2.32862,0.521859
8174.94,2.31844,0.521668
8185.89,2.30832,0.521479
8196.83,2.29823,0.521292
8207.78,2.2882,0.521107
8218.72,2.2782,0.520923
8229.66,2.26825,0.52074
8240.61,2.25834,0.520559
8251.55,2.24848,0.52038
8262.49,2.23866,0.520203
8273.44,2.22888,0.520026
8284.38,2.21914,0.519852
8295.32,2.20945,0.519679
8306.27,2.1998,0.519507
8317.21,2.19019,0.519337
8328.16,2.18063,0.519169
8339.1,2.1711,0.519002
8350.04,2.16162,0.518836
8360.99,2.15218,0.518672
8371.93,2.14277,0.518509
8382.87,2.13342,0.518348
8393.82,2.1241,0.518188
8404.76,2.11482,0.518029
8415.71,2.10558,0.517872
8426.65,2.09638,0.517716
8437.59,2.08723,0.517562
8448.54,2.07811,0.517409
8459.48,2.06903,0.517257
8470.42,2.06,0.517107
8481.37,2.051,0.516958
8492.31,2.04204,0.51681
8503.25,2.03312,0.516663
8514.2,2.02424,0.516518
8525.14,2.0154,0.516374
8536.09,2.0066,0.516231
8547.03,1.99783,0.51609
8557.97,1.9891,0.515949
8568.92,1.98042,0.51581
8579.86,1.97177,0.515673
8590.8,1.96315,0.515536
8601.75,1.95458,0.515401
8612.69,1.94604,0.515266
8623.64,1.93754,0.515133
8634.58,1.92908,0.515001
8645.52,1.92065,0.514871
8656.47,1.91226,0.514741
8667.41,1.90391,0.514612
8678.35,1.89559,0.514485
8689.3,1.88731,0.514359
8700.24,1.87907,0.514234
8711.19,1.87086,0.51411
8722.13,1.86269,0.513987
8733.07,1.85456,0.513865
8744.02,1.84645,0.513744
8754.96,1.83839,0.513624
8765.9,1.83036,0.513505
8776.85,1.82236,0.513388
8787.79,1.8144,0.513271
8798.73,1.80648,0.513155
8809.68,1.79859,0.513041
8820.62,1.79073,0.512927
8831.57,1.78291,0.512814
8842.51,1.77512,0.512702
8853.45,1.76737,0.512592
8864.4,1.75965,0.512482
8875.34,1.75196,0.512373
8886.28,1.74431,0.512265
8897.23,1.73669,0.512158
8908.17,1.72911,0.512052
8919.12,1.72155,0.511947
8930.06,1.71403,0.511843
8941,1.70655,0.51174
8951.95,1.69909,0.511638
8962.89,1.69167,0.511536
8973.83,1.68428,0.511436
8984.78,1.67693,0.511336
8995.72,1.6696,0.511237
9006.67,1.66231,0.511139
9017.61,1.65505,0.511042
9028.55,1.64782,0.510946
9039.5,1.64062,0.51085
9050.44,1.63346,0.510756
9061.38,1.62632,0.510662
9072.33,1.61922,0.510569
9083.27,1.61214,0.510477
9094.21,1.6051,0.510386
9105.16,1.59809,0.510295
9116.1,1.59111,0.510205
9127.05,1.58416,0.510117
9137.99,1.57724,0.510028
9148.93,1.57035,0.509941
9159.88,1.56349,0.509854
9170.82,1.55666,0.509768
9181.76,1.54987,0.509683
9192.71,1.5431,0.509599
9203.65,1.53636,0.509515
9214.6,1.52965,0.509432
9225.54,1.52296,0.50935
9236.48,1.51631,0.509268
9247.43,1.50969,0.509188
9258.37,1.50309,0.509108
9269.31,1.49653,0.509028
9280.26,1.48999,0.50895
9291.2,1.48348,0.508872
9302.15,1.477,0.508794
9313.09,1.47055,0.508718
9324.03,1.46413,0.508642
9334.98,1.45773,0.508566
9345.92,1.45137,0.508492
9356.86,1.44503,0.508418
9367.81,1.43872,0.508344
9378.75,1.43243,0.508271
9389.69,1.42617,0.508199
9400.64,1.41995,0.508128
9411.58,1.41374,0.508057
9422.53,1.40757,0.507987
9433.47,1.40142,0.507917
9444.41,1.3953,0.507848
9455.36,1.3892,0.50778
9466.3,1.38314,0.507712
9477.24,1.37709,0.507645
9488.19,1.37108,0.507578
9499.13,1.36509,0.507512
9510.08,1.35913,0.507447
9521.02,1.35319,0.507382
9531.96,1.34728,0.507317
9542.91,1.3414,0.507253
9553.85,1.33554,0.50719
9564.79,1.3297,0.507128
9575.74,1.3239,0.507065
9586.68,1.31811,0.507004
9597.62,1.31236,0.506943
9608.57,1.30662,0.506882
9619.51,1.30092,0.506822
9630.46,1.29523,0.506763
9641.4,1.28958,0.506704
9652.34,1.28394,0.506645
9663.29,1.27834,0.506588
9674.23,1.27275,0.50653
9685.17,1.26719,0.506473
9696.12,1.26166,0.506417
9707.06,1.25615,0.506361
9718.01,1.25066,0.506305
9728.95,1.2452,0.50625
9739.89,1.23976,0.506196
9750.84,1.23434,0.506142
9761.78,1.22895,0.506088
9772.72,1.22358,0.506035
9783.67,1.21824,0.505983
9794.61,1.21292,0.505931
9805.56,1.20762,0.505879
9816.5,1.20235,0.505828
9827.44,1.19709,0.505777
9838.39,1.19187,0.505726
9849.33,1.18666,0.505677
9860.27,1.18148,0.505627
9871.22,1.17632,0.505578
9882.16,1.17118,0.505529
9893.1,1.16606,0.505481
9904.05,1.16097,0.505433
9914.99,1.1559,0.505386
9925.94,1.15085,0.505339
9936.88,1.14582,0.505293
9947.82,1.14082,0.505246
9958.77,1.13583,0.505201
9969.71,1.13087,0.505155
9980.65,1.12593,0.50511
9991.6,1.12102,0.505066
10002.5,1.11612,0.505022
10013.5,1.11124,0.504978
10024.4,1.10639,0.504935
10035.4,1.10156,0.504892
10046.3,1.09675,0.504849
10057.3,1.09196,0.504807
10068.2,1.08719,0.504765
10079.1,1.08244,0.504723
10090.1,1.07771,0.504682
10101,1.073,0.504641
10112,1.06831,0.504601
10122.9,1.06365,0.504561
10133.9,1.059,0.504521
10144.8,1.05438,0.504481
10155.8,1.04977,0.504442
10166.7,1.04519,0.504404
10177.6,1.04062,0.504365
10188.6,1.03608,0.504327
10199.5,1.03155,0.50429
10210.5,1.02704,0.504252
10221.4,1.02256,0.504215
10232.4,1.01809,0.504178
10243.3,1.01364,0.504142
10254.2,1.00922,0.504106
